Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Type
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.8652,77.524,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9662,77.6068,,,,,,,,,,,,,Person
,,,,,,12.9662,77.6068,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,13.0298,77.6047,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9621,77.5376,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,13.0012,77.5995,,,,,,,,,,,,,Person
,,,,,,13.0223,77.7132,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,13.0262,77.62,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0078,77.5577,,,,,,,,,,,,,Person
,,,,,,13.0078,77.5577,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,12.9105,77.4842,,,,,,,,,,,,,Person
,,,,,,12.9105,77.4842,,,,,,,,,,,,,Person
,,,,,,12.9037,77.5376,,,,,,,,,,,,,Person
,,,,,,12.8834,77.5486,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
